Group,Year,County,Enrollment
American Indialaska Native Students,2012,SAN MATEO COUNTY,184
American Indialaska Native Students,2012,SANTA BARBARA COUNTY,358
American Indialaska Native Students,2012,SANTA CLARA COUNTY,1051
American Indialaska Native Students,2012,SANTA CRUZ COUNTY,147
American Indialaska Native Students,2012,SHASTA COUNTY,1373
American Indialaska Native Students,2012,SIERRA COUNTY,
American Indialaska Native Students,2012,SISKIYOU COUNTY,368
American Indialaska Native Students,2012,SOLANO COUNTY,449
American Indialaska Native Students,2012,SONOMA COUNTY,755
American Indialaska Native Students,2012,STANISLAUS COUNTY,626
American Indialaska Native Students,2012,SUTTER COUNTY,176
American Indialaska Native Students,2012,TEHAMA COUNTY,237
American Indialaska Native Students,2012,TRINITY COUNTY,115
American Indialaska Native Students,2012,TULARE COUNTY,982
American Indialaska Native Students,2012,TUOLUMNE COUNTY,167
American Indialaska Native Students,2012,VENTURA COUNTY,779
American Indialaska Native Students,2012,YOLO COUNTY,240
American Indialaska Native Students,2012,YUBA COUNTY,420
American Indialaska Native Students,2011,ALAMEDA COUNTY,916
American Indialaska Native Students,2011,ALPINE COUNTY,
American Indialaska Native Students,2011,AMADOR COUNTY,100
American Indialaska Native Students,2011,BUTTE COUNTY,927
American Indialaska Native Students,2011,CALAVERAS COUNTY,119
American Indialaska Native Students,2011,COLUSA COUNTY,84
American Indialaska Native Students,2011,CONTRA COSTA COUNTY,627
American Indialaska Native Students,2011,DEL NORTE COUNTY,616
American Indialaska Native Students,2011,EL DORADO COUNTY,304
American Indialaska Native Students,2011,FRESNO COUNTY,1395
American Indialaska Native Students,2011,GLENN COUNTY,118
American Indialaska Native Students,2011,HUMBOLDT COUNTY,1757
American Indialaska Native Students,2011,IMPERIAL COUNTY,418
American Indialaska Native Students,2011,INYO COUNTY,458
American Indialaska Native Students,2011,KERN COUNTY,1125
American Indialaska Native Students,2011,KINGS COUNTY,436
American Indialaska Native Students,2011,LAKE COUNTY,459
American Indialaska Native Students,2011,LASSEN COUNTY,
American Indialaska Native Students,2011,LOS ANGELES COUNTY,5624
American Indialaska Native Students,2011,MADERA COUNTY,361
American Indialaska Native Students,2011,MARIN COUNTY,131
American Indialaska Native Students,2011,MARIPOSA COUNTY,107
American Indialaska Native Students,2011,MENDOCINO COUNTY,1080
American Indialaska Native Students,2011,MERCED COUNTY,264
American Indialaska Native Students,2011,MODOC COUNTY,74
American Indialaska Native Students,2011,MONO COUNTY,46
American Indialaska Native Students,2011,MONTEREY COUNTY,260
American Indialaska Native Students,2011,NAPA COUNTY,109
American Indialaska Native Students,2011,NEVADA COUNTY,219
American Indialaska Native Students,2011,ORANGE COUNTY,2272
American Indialaska Native Students,2011,PLACER COUNTY,579
American Indialaska Native Students,2011,PLUMAS COUNTY,
American Indialaska Native Students,2011,RIVERSIDE COUNTY,2381
American Indialaska Native Students,2011,SACRAMENTO COUNTY,1968
American Indialaska Native Students,2011,SAN BENITO COUNTY,40
American Indialaska Native Students,2011,SAN BERNARDINO COUNTY,2296
American Indialaska Native Students,2011,SAN DIEGO COUNTY,3244
American Indialaska Native Students,2011,SAN FRANCISCO COUNTY,284
American Indialaska Native Students,2011,SAN JOAQUIN COUNTY,1895
American Indialaska Native Students,2011,SAN LUIS OBISPO COUNTY,244
American Indialaska Native Students,2011,SAN MATEO COUNTY,193
American Indialaska Native Students,2011,SANTA BARBARA COUNTY,360
American Indialaska Native Students,2011,SANTA CLARA COUNTY,1039
American Indialaska Native Students,2011,SANTA CRUZ COUNTY,157
American Indialaska Native Students,2011,SHASTA COUNTY,1387
American Indialaska Native Students,2011,SIERRA COUNTY,
American Indialaska Native Students,2011,SISKIYOU COUNTY,373
American Indialaska Native Students,2011,SOLANO COUNTY,502
American Indialaska Native Students,2011,SONOMA COUNTY,779
American Indialaska Native Students,2011,STANISLAUS COUNTY,688
American Indialaska Native Students,2011,SUTTER COUNTY,184
American Indialaska Native Students,2011,TEHAMA COUNTY,235
American Indialaska Native Students,2011,TRINITY COUNTY,140
American Indialaska Native Students,2011,TULARE COUNTY,1028
American Indialaska Native Students,2011,TUOLUMNE COUNTY,138
American Indialaska Native Students,2011,VENTURA COUNTY,776
American Indialaska Native Students,2011,YOLO COUNTY,251
American Indialaska Native Students,2011,YUBA COUNTY,452
American Indialaska Native Students,2010,ALAMEDA COUNTY,938
American Indialaska Native Students,2010,ALPINE COUNTY,34
American Indialaska Native Students,2010,AMADOR COUNTY,98
American Indialaska Native Students,2010,BUTTE COUNTY,935
American Indialaska Native Students,2010,CALAVERAS COUNTY,129
American Indialaska Native Students,2010,COLUSA COUNTY,82
American Indialaska Native Students,2010,CONTRA COSTA COUNTY,635
American Indialaska Native Students,2010,DEL NORTE COUNTY,626
American Indialaska Native Students,2010,EL DORADO COUNTY,314
American Indialaska Native Students,2010,FRESNO COUNTY,1473
American Indialaska Native Students,2010,GLENN COUNTY,118
American Indialaska Native Students,2010,HUMBOLDT COUNTY,1848
American Indialaska Native Students,2010,IMPERIAL COUNTY,399
American Indialaska Native Students,2010,INYO COUNTY,467
American Indialaska Native Students,2010,KERN COUNTY,1156
American Indialaska Native Students,2010,KINGS COUNTY,451
American Indialaska Native Students,2010,LAKE COUNTY,372
