Group,Year,County,Enrollment
American Indialaska Native Students,2000,SANTA CLARA COUNTY,1681
American Indialaska Native Students,2000,SANTA CRUZ COUNTY,199
American Indialaska Native Students,2000,SHASTA COUNTY,1688
American Indialaska Native Students,2000,SIERRA COUNTY,51
American Indialaska Native Students,2000,SISKIYOU COUNTY,588
American Indialaska Native Students,2000,SOLANO COUNTY,747
American Indialaska Native Students,2000,SONOMA COUNTY,958
American Indialaska Native Students,2000,STANISLAUS COUNTY,783
American Indialaska Native Students,2000,SUTTER COUNTY,274
American Indialaska Native Students,2000,TEHAMA COUNTY,173
American Indialaska Native Students,2000,TRINITY COUNTY,159
American Indialaska Native Students,2000,TULARE COUNTY,727
American Indialaska Native Students,2000,TUOLUMNE COUNTY,256
American Indialaska Native Students,2000,VENTURA COUNTY,1250
American Indialaska Native Students,2000,YOLO COUNTY,345
American Indialaska Native Students,2000,YUBA COUNTY,918
American Indialaska Native Students,1999,ALAMEDA COUNTY,1420
American Indialaska Native Students,1999,ALPINE COUNTY,59
American Indialaska Native Students,1999,AMADOR COUNTY,173
American Indialaska Native Students,1999,BUTTE COUNTY,1243
American Indialaska Native Students,1999,CALAVERAS COUNTY,134
American Indialaska Native Students,1999,COLUSA COUNTY,59
American Indialaska Native Students,1999,CONTRA COSTA COUNTY,936
American Indialaska Native Students,1999,DEL NORTE COUNTY,672
American Indialaska Native Students,1999,EL DORADO COUNTY,469
American Indialaska Native Students,1999,FRESNO COUNTY,1647
American Indialaska Native Students,1999,GLENN COUNTY,140
American Indialaska Native Students,1999,HUMBOLDT COUNTY,2629
American Indialaska Native Students,1999,IMPERIAL COUNTY,500
American Indialaska Native Students,1999,INYO COUNTY,502
American Indialaska Native Students,1999,KERN COUNTY,1300
American Indialaska Native Students,1999,KINGS COUNTY,263
American Indialaska Native Students,1999,LAKE COUNTY,534
American Indialaska Native Students,1999,LASSEN COUNTY,277
American Indialaska Native Students,1999,LOS ANGELES COUNTY,4929
American Indialaska Native Students,1999,MADERA COUNTY,441
American Indialaska Native Students,1999,MARIN COUNTY,101
American Indialaska Native Students,1999,MARIPOSA COUNTY,161
American Indialaska Native Students,1999,MENDOCINO COUNTY,1143
American Indialaska Native Students,1999,MERCED COUNTY,163
American Indialaska Native Students,1999,MODOC COUNTY,138
American Indialaska Native Students,1999,MONO COUNTY,51
American Indialaska Native Students,1999,MONTEREY COUNTY,346
American Indialaska Native Students,1999,NAPA COUNTY,273
American Indialaska Native Students,1999,NEVADA COUNTY,247
American Indialaska Native Students,1999,ORANGE COUNTY,2591
American Indialaska Native Students,1999,PLACER COUNTY,598
American Indialaska Native Students,1999,PLUMAS COUNTY,194
American Indialaska Native Students,1999,RIVERSIDE COUNTY,2509
American Indialaska Native Students,1999,SACRAMENTO COUNTY,2989
American Indialaska Native Students,1999,SAN BENITO COUNTY,34
American Indialaska Native Students,1999,SAN BERNARDINO COUNTY,2893
American Indialaska Native Students,1999,SAN DIEGO COUNTY,4450
American Indialaska Native Students,1999,SAN FRANCISCO COUNTY,418
American Indialaska Native Students,1999,SAN JOAQUIN COUNTY,1807
American Indialaska Native Students,1999,SAN LUIS OBISPO COUNTY,229
American Indialaska Native Students,1999,SAN MATEO COUNTY,325
American Indialaska Native Students,1999,SANTA BARBARA COUNTY,713
American Indialaska Native Students,1999,SANTA CLARA COUNTY,1641
American Indialaska Native Students,1999,SANTA CRUZ COUNTY,177
American Indialaska Native Students,1999,SHASTA COUNTY,1563
American Indialaska Native Students,1999,SIERRA COUNTY,46
American Indialaska Native Students,1999,SISKIYOU COUNTY,499
American Indialaska Native Students,1999,SOLANO COUNTY,651
American Indialaska Native Students,1999,SONOMA COUNTY,914
American Indialaska Native Students,1999,STANISLAUS COUNTY,795
American Indialaska Native Students,1999,SUTTER COUNTY,305
American Indialaska Native Students,1999,TEHAMA COUNTY,166
American Indialaska Native Students,1999,TRINITY COUNTY,173
American Indialaska Native Students,1999,TULARE COUNTY,623
American Indialaska Native Students,1999,TUOLUMNE COUNTY,248
American Indialaska Native Students,1999,VENTURA COUNTY,1135
American Indialaska Native Students,1999,YOLO COUNTY,257
American Indialaska Native Students,1999,YUBA COUNTY,880
Asian or Asian/Pacific Islander Students,2013,ALAMEDA COUNTY,60613
Asian or Asian/Pacific Islander Students,2013,ALPINE COUNTY,0
Asian or Asian/Pacific Islander Students,2013,AMADOR COUNTY,56
Asian or Asian/Pacific Islander Students,2013,BUTTE COUNTY,2027
Asian or Asian/Pacific Islander Students,2013,CALAVERAS COUNTY,69
Asian or Asian/Pacific Islander Students,2013,COLUSA COUNTY,49
Asian or Asian/Pacific Islander Students,2013,CONTRA COSTA COUNTY,26638
Asian or Asian/Pacific Islander Students,2013,DEL NORTE COUNTY,299
Asian or Asian/Pacific Islander Students,2013,EL DORADO COUNTY,1277
Asian or Asian/Pacific Islander Students,2013,FRESNO COUNTY,19880
Asian or Asian/Pacific Islander Students,2013,GLENN COUNTY,163
Asian or Asian/Pacific Islander Students,2013,HUMBOLDT COUNTY,684
Asian or Asian/Pacific Islander Students,2013,IMPERIAL COUNTY,321
Asian or Asian/Pacific Islander Students,2013,INYO COUNTY,35
Asian or Asian/Pacific Islander Students,2013,KERN COUNTY,6516
Asian or Asian/Pacific Islander Students,2013,KINGS COUNTY,890
Asian or Asian/Pacific Islander Students,2013,LAKE COUNTY,110
Asian or Asian/Pacific Islander Students,2013,LASSEN COUNTY,64
Asian or Asian/Pacific Islander Students,2013,LOS ANGELES COUNTY,153723
Asian or Asian/Pacific Islander Students,2013,MADERA COUNTY,448
Asian or Asian/Pacific Islander Students,2013,MARIN COUNTY,1821
Asian or Asian/Pacific Islander Students,2013,MARIPOSA COUNTY,37
Asian or Asian/Pacific Islander Students,2013,MENDOCINO COUNTY,186
Asian or Asian/Pacific Islander Students,2013,MERCED COUNTY,3787
Asian or Asian/Pacific Islander Students,2013,MODOC COUNTY,
Asian or Asian/Pacific Islander Students,2013,MONO COUNTY,
Asian or Asian/Pacific Islander Students,2013,MONTEREY COUNTY,2798
Asian or Asian/Pacific Islander Students,2013,NAPA COUNTY,1595
Asian or Asian/Pacific Islander Students,2013,NEVADA COUNTY,149
Asian or Asian/Pacific Islander Students,2013,ORANGE COUNTY,83269
Asian or Asian/Pacific Islander Students,2013,PLACER COUNTY,4657
Asian or Asian/Pacific Islander Students,2013,PLUMAS COUNTY,16
Asian or Asian/Pacific Islander Students,2013,RIVERSIDE COUNTY,
Asian or Asian/Pacific Islander Students,2013,SACRAMENTO COUNTY,
Asian or Asian/Pacific Islander Students,2013,SAN BENITO COUNTY,197
Asian or Asian/Pacific Islander Students,2013,SAN BERNARDINO COUNTY,18965
Asian or Asian/Pacific Islander Students,2013,SAN DIEGO COUNTY,
Asian or Asian/Pacific Islander Students,2013,SAN FRANCISCO COUNTY,23536
Asian or Asian/Pacific Islander Students,2013,SAN JOAQUIN COUNTY,21039
Asian or Asian/Pacific Islander Students,2013,SAN LUIS OBISPO COUNTY,981
Asian or Asian/Pacific Islander Students,2013,SAN MATEO COUNTY,19470
Asian or Asian/Pacific Islander Students,2013,SANTA BARBARA COUNTY,1942
Asian or Asian/Pacific Islander Students,2013,SANTA CLARA COUNTY,88025
Asian or Asian/Pacific Islander Students,2013,SANTA CRUZ COUNTY,1093
Asian or Asian/Pacific Islander Students,2013,SHASTA COUNTY,886
Asian or Asian/Pacific Islander Students,2013,SIERRA COUNTY,
Asian or Asian/Pacific Islander Students,2013,SISKIYOU COUNTY,86
Asian or Asian/Pacific Islander Students,2013,SOLANO COUNTY,7951
Asian or Asian/Pacific Islander Students,2013,SONOMA COUNTY,2763
Asian or Asian/Pacific Islander Students,2013,STANISLAUS COUNTY,5180
Asian or Asian/Pacific Islander Students,2013,SUTTER COUNTY,2735
Asian or Asian/Pacific Islander Students,2013,TEHAMA COUNTY,96
Asian or Asian/Pacific Islander Students,2013,TRINITY COUNTY,24
Asian or Asian/Pacific Islander Students,2013,TULARE COUNTY,3044
Asian or Asian/Pacific Islander Students,2013,TUOLUMNE COUNTY,80
Asian or Asian/Pacific Islander Students,2013,VENTURA COUNTY,10025
Asian or Asian/Pacific Islander Students,2013,YOLO COUNTY,3112
Asian or Asian/Pacific Islander Students,2013,YUBA COUNTY,1063
Asian or Asian/Pacific Islander Students,2012,ALAMEDA COUNTY,26288
Asian or Asian/Pacific Islander Students,2012,ALPINE COUNTY,0
Asian or Asian/Pacific Islander Students,2012,AMADOR COUNTY,46
Asian or Asian/Pacific Islander Students,2012,BUTTE COUNTY,2130
Asian or Asian/Pacific Islander Students,2012,CALAVERAS COUNTY,82
Asian or Asian/Pacific Islander Students,2012,COLUSA COUNTY,49
Asian or Asian/Pacific Islander Students,2012,CONTRA COSTA COUNTY,11703
Asian or Asian/Pacific Islander Students,2012,DEL NORTE COUNTY,304
Asian or Asian/Pacific Islander Students,2012,EL DORADO COUNTY,1284
Asian or Asian/Pacific Islander Students,2012,FRESNO COUNTY,19918
Asian or Asian/Pacific Islander Students,2012,GLENN COUNTY,159
Asian or Asian/Pacific Islander Students,2012,HUMBOLDT COUNTY,661
Asian or Asian/Pacific Islander Students,2012,IMPERIAL COUNTY,332
Asian or Asian/Pacific Islander Students,2012,INYO COUNTY,41
Asian or Asian/Pacific Islander Students,2012,KERN COUNTY,6423
Asian or Asian/Pacific Islander Students,2012,KINGS COUNTY,986
Asian or Asian/Pacific Islander Students,2012,LAKE COUNTY,114
Asian or Asian/Pacific Islander Students,2012,LASSEN COUNTY,
Asian or Asian/Pacific Islander Students,2012,LOS ANGELES COUNTY,155493
Asian or Asian/Pacific Islander Students,2012,MADERA COUNTY,451
Asian or Asian/Pacific Islander Students,2012,MARIN COUNTY,1826
Asian or Asian/Pacific Islander Students,2012,MARIPOSA COUNTY,33
Asian or Asian/Pacific Islander Students,2012,MENDOCINO COUNTY,185
Asian or Asian/Pacific Islander Students,2012,MERCED COUNTY,3926
Asian or Asian/Pacific Islander Students,2012,MODOC COUNTY,
Asian or Asian/Pacific Islander Students,2012,MONO COUNTY,14
Asian or Asian/Pacific Islander Students,2012,MONTEREY COUNTY,3008
Asian or Asian/Pacific Islander Students,2012,NAPA COUNTY,1524
Asian or Asian/Pacific Islander Students,2012,NEVADA COUNTY,141
Asian or Asian/Pacific Islander Students,2012,ORANGE COUNTY,83795
Asian or Asian/Pacific Islander Students,2012,PLACER COUNTY,4544
Asian or Asian/Pacific Islander Students,2012,PLUMAS COUNTY,23
Asian or Asian/Pacific Islander Students,2012,RIVERSIDE COUNTY,9806
Asian or Asian/Pacific Islander Students,2012,SACRAMENTO COUNTY,19135
Asian or Asian/Pacific Islander Students,2012,SAN BENITO COUNTY,219
Asian or Asian/Pacific Islander Students,2012,SAN BERNARDINO COUNTY,18991
Asian or Asian/Pacific Islander Students,2012,SAN DIEGO COUNTY,26139
Asian or Asian/Pacific Islander Students,2012,SAN FRANCISCO COUNTY,22426
Asian or Asian/Pacific Islander Students,2012,SAN JOAQUIN COUNTY,21293
Asian or Asian/Pacific Islander Students,2012,SAN LUIS OBISPO COUNTY,993
Asian or Asian/Pacific Islander Students,2012,SAN MATEO COUNTY,19361
Asian or Asian/Pacific Islander Students,2012,SANTA BARBARA COUNTY,1972
Asian or Asian/Pacific Islander Students,2012,SANTA CLARA COUNTY,86943
Asian or Asian/Pacific Islander Students,2012,SANTA CRUZ COUNTY,1087
Asian or Asian/Pacific Islander Students,2012,SHASTA COUNTY,900
Asian or Asian/Pacific Islander Students,2012,SIERRA COUNTY,
Asian or Asian/Pacific Islander Students,2012,SISKIYOU COUNTY,98
Asian or Asian/Pacific Islander Students,2012,SOLANO COUNTY,8095
Asian or Asian/Pacific Islander Students,2012,SONOMA COUNTY,2812
Asian or Asian/Pacific Islander Students,2012,STANISLAUS COUNTY,5202
Asian or Asian/Pacific Islander Students,2012,SUTTER COUNTY,2769
Asian or Asian/Pacific Islander Students,2012,TEHAMA COUNTY,105
Asian or Asian/Pacific Islander Students,2012,TRINITY COUNTY,25
Asian or Asian/Pacific Islander Students,2012,TULARE COUNTY,3034
Asian or Asian/Pacific Islander Students,2012,TUOLUMNE COUNTY,69
Asian or Asian/Pacific Islander Students,2012,VENTURA COUNTY,10046
Asian or Asian/Pacific Islander Students,2012,YOLO COUNTY,3107
Asian or Asian/Pacific Islander Students,2012,YUBA COUNTY,1112
Asian or Asian/Pacific Islander Students,2011,ALAMEDA COUNTY,58324
Asian or Asian/Pacific Islander Students,2011,ALPINE COUNTY,
Asian or Asian/Pacific Islander Students,2011,AMADOR COUNTY,50
Asian or Asian/Pacific Islander Students,2011,BUTTE COUNTY,2265
Asian or Asian/Pacific Islander Students,2011,CALAVERAS COUNTY,96
Asian or Asian/Pacific Islander Students,2011,COLUSA COUNTY,45
Asian or Asian/Pacific Islander Students,2011,CONTRA COSTA COUNTY,25189
Asian or Asian/Pacific Islander Students,2011,DEL NORTE COUNTY,313
Asian or Asian/Pacific Islander Students,2011,EL DORADO COUNTY,1253
Asian or Asian/Pacific Islander Students,2011,FRESNO COUNTY,20234
Asian or Asian/Pacific Islander Students,2011,GLENN COUNTY,158
Asian or Asian/Pacific Islander Students,2011,HUMBOLDT COUNTY,668
Asian or Asian/Pacific Islander Students,2011,IMPERIAL COUNTY,335
Asian or Asian/Pacific Islander Students,2011,INYO COUNTY,38
Asian or Asian/Pacific Islander Students,2011,KERN COUNTY,6447
Asian or Asian/Pacific Islander Students,2011,KINGS COUNTY,1017
Asian or Asian/Pacific Islander Students,2011,LAKE COUNTY,114
Asian or Asian/Pacific Islander Students,2011,LASSEN COUNTY,
Asian or Asian/Pacific Islander Students,2011,LOS ANGELES COUNTY,157787
Asian or Asian/Pacific Islander Students,2011,MADERA COUNTY,447
Asian or Asian/Pacific Islander Students,2011,MARIN COUNTY,1851
Asian or Asian/Pacific Islander Students,2011,MARIPOSA COUNTY,28
Asian or Asian/Pacific Islander Students,2011,MENDOCINO COUNTY,215
Asian or Asian/Pacific Islander Students,2011,MERCED COUNTY,4091
Asian or Asian/Pacific Islander Students,2011,MODOC COUNTY,17
Asian or Asian/Pacific Islander Students,2011,MONO COUNTY,12
Asian or Asian/Pacific Islander Students,2011,MONTEREY COUNTY,3179
Asian or Asian/Pacific Islander Students,2011,NAPA COUNTY,1442
Asian or Asian/Pacific Islander Students,2011,NEVADA COUNTY,152
Asian or Asian/Pacific Islander Students,2011,ORANGE COUNTY,82850
Asian or Asian/Pacific Islander Students,2011,PLACER COUNTY,4446
Asian or Asian/Pacific Islander Students,2011,PLUMAS COUNTY,
Asian or Asian/Pacific Islander Students,2011,RIVERSIDE COUNTY,20199
Asian or Asian/Pacific Islander Students,2011,SACRAMENTO COUNTY,38157
Asian or Asian/Pacific Islander Students,2011,SAN BENITO COUNTY,193
Asian or Asian/Pacific Islander Students,2011,SAN BERNARDINO COUNTY,19097
Asian or Asian/Pacific Islander Students,2011,SAN DIEGO COUNTY,50029
Asian or Asian/Pacific Islander Students,2011,SAN FRANCISCO COUNTY,24858
Asian or Asian/Pacific Islander Students,2011,SAN JOAQUIN COUNTY,21031
Asian or Asian/Pacific Islander Students,2011,SAN LUIS OBISPO COUNTY,979
Asian or Asian/Pacific Islander Students,2011,SAN MATEO COUNTY,18914
Asian or Asian/Pacific Islander Students,2011,SANTA BARBARA COUNTY,2075
Asian or Asian/Pacific Islander Students,2011,SANTA CLARA COUNTY,85390
Asian or Asian/Pacific Islander Students,2011,SANTA CRUZ COUNTY,1080
Asian or Asian/Pacific Islander Students,2011,SHASTA COUNTY,915
Asian or Asian/Pacific Islander Students,2011,SIERRA COUNTY,
Asian or Asian/Pacific Islander Students,2011,SISKIYOU COUNTY,101
Asian or Asian/Pacific Islander Students,2011,SOLANO COUNTY,8261
Asian or Asian/Pacific Islander Students,2011,SONOMA COUNTY,2894
Asian or Asian/Pacific Islander Students,2011,STANISLAUS COUNTY,5320
Asian or Asian/Pacific Islander Students,2011,SUTTER COUNTY,2772
Asian or Asian/Pacific Islander Students,2011,TEHAMA COUNTY,107
Asian or Asian/Pacific Islander Students,2011,TRINITY COUNTY,20
Asian or Asian/Pacific Islander Students,2011,TULARE COUNTY,3047
Asian or Asian/Pacific Islander Students,2011,TUOLUMNE COUNTY,61
Asian or Asian/Pacific Islander Students,2011,VENTURA COUNTY,9935
Asian or Asian/Pacific Islander Students,2011,YOLO COUNTY,3000
Asian or Asian/Pacific Islander Students,2011,YUBA COUNTY,1173
Asian or Asian/Pacific Islander Students,2010,ALAMEDA COUNTY,56670
Asian or Asian/Pacific Islander Students,2010,ALPINE COUNTY,0
Asian or Asian/Pacific Islander Students,2010,AMADOR COUNTY,47
Asian or Asian/Pacific Islander Students,2010,BUTTE COUNTY,2306
Asian or Asian/Pacific Islander Students,2010,CALAVERAS COUNTY,98
Asian or Asian/Pacific Islander Students,2010,COLUSA COUNTY,54
Asian or Asian/Pacific Islander Students,2010,CONTRA COSTA COUNTY,23278
Asian or Asian/Pacific Islander Students,2010,DEL NORTE COUNTY,315
Asian or Asian/Pacific Islander Students,2010,EL DORADO COUNTY,1380
Asian or Asian/Pacific Islander Students,2010,FRESNO COUNTY,20361
Asian or Asian/Pacific Islander Students,2010,GLENN COUNTY,175
Asian or Asian/Pacific Islander Students,2010,HUMBOLDT COUNTY,656
Asian or Asian/Pacific Islander Students,2010,IMPERIAL COUNTY,337
Asian or Asian/Pacific Islander Students,2010,INYO COUNTY,45
Asian or Asian/Pacific Islander Students,2010,KERN COUNTY,6195
Asian or Asian/Pacific Islander Students,2010,KINGS COUNTY,1062
Asian or Asian/Pacific Islander Students,2010,LAKE COUNTY,119
Asian or Asian/Pacific Islander Students,2010,LASSEN COUNTY,62
Asian or Asian/Pacific Islander Students,2010,LOS ANGELES COUNTY,158460
Asian or Asian/Pacific Islander Students,2010,MADERA COUNTY,423
Asian or Asian/Pacific Islander Students,2010,MARIN COUNTY,1911
Asian or Asian/Pacific Islander Students,2010,MARIPOSA COUNTY,28
Asian or Asian/Pacific Islander Students,2010,MENDOCINO COUNTY,196
Asian or Asian/Pacific Islander Students,2010,MERCED COUNTY,4231
Asian or Asian/Pacific Islander Students,2010,MODOC COUNTY,14
Asian or Asian/Pacific Islander Students,2010,MONO COUNTY,12
Asian or Asian/Pacific Islander Students,2010,MONTEREY COUNTY,3219
Asian or Asian/Pacific Islander Students,2010,NAPA COUNTY,1392
Asian or Asian/Pacific Islander Students,2010,NEVADA COUNTY,160
Asian or Asian/Pacific Islander Students,2010,ORANGE COUNTY,81862
Asian or Asian/Pacific Islander Students,2010,PLACER COUNTY,4339
Asian or Asian/Pacific Islander Students,2010,PLUMAS COUNTY,23
Asian or Asian/Pacific Islander Students,2010,RIVERSIDE COUNTY,20131
Asian or Asian/Pacific Islander Students,2010,SACRAMENTO COUNTY,35082
Asian or Asian/Pacific Islander Students,2010,SAN BENITO COUNTY,216
Asian or Asian/Pacific Islander Students,2010,SAN BERNARDINO COUNTY,19235
Asian or Asian/Pacific Islander Students,2010,SAN DIEGO COUNTY,49704
Asian or Asian/Pacific Islander Students,2010,SAN FRANCISCO COUNTY,25142
Asian or Asian/Pacific Islander Students,2010,SAN JOAQUIN COUNTY,21432
Asian or Asian/Pacific Islander Students,2010,SAN LUIS OBISPO COUNTY,985
Asian or Asian/Pacific Islander Students,2010,SAN MATEO COUNTY,17777
Asian or Asian/Pacific Islander Students,2010,SANTA BARBARA COUNTY,2170
Asian or Asian/Pacific Islander Students,2010,SANTA CLARA COUNTY,83381
Asian or Asian/Pacific Islander Students,2010,SANTA CRUZ COUNTY,1008
Asian or Asian/Pacific Islander Students,2010,SHASTA COUNTY,927
Asian or Asian/Pacific Islander Students,2010,SIERRA COUNTY,3
Asian or Asian/Pacific Islander Students,2010,SISKIYOU COUNTY,101
Asian or Asian/Pacific Islander Students,2010,SOLANO COUNTY,8470
Asian or Asian/Pacific Islander Students,2010,SONOMA COUNTY,3023
Asian or Asian/Pacific Islander Students,2010,STANISLAUS COUNTY,5424
Asian or Asian/Pacific Islander Students,2010,SUTTER COUNTY,2676
Asian or Asian/Pacific Islander Students,2010,TEHAMA COUNTY,144
Asian or Asian/Pacific Islander Students,2010,TRINITY COUNTY,25
Asian or Asian/Pacific Islander Students,2010,TULARE COUNTY,3011
Asian or Asian/Pacific Islander Students,2010,TUOLUMNE COUNTY,75
Asian or Asian/Pacific Islander Students,2010,VENTURA COUNTY,9787
Asian or Asian/Pacific Islander Students,2010,YOLO COUNTY,2909
Asian or Asian/Pacific Islander Students,2010,YUBA COUNTY,1273
Asian or Asian/Pacific Islander Students,2009,ALAMEDA COUNTY,27552
Asian or Asian/Pacific Islander Students,2009,ALPINE COUNTY,0
Asian or Asian/Pacific Islander Students,2009,AMADOR COUNTY,44
Asian or Asian/Pacific Islander Students,2009,BUTTE COUNTY,2366
Asian or Asian/Pacific Islander Students,2009,CALAVERAS COUNTY,98
Asian or Asian/Pacific Islander Students,2009,COLUSA COUNTY,47
Asian or Asian/Pacific Islander Students,2009,CONTRA COSTA COUNTY,12955
Asian or Asian/Pacific Islander Students,2009,DEL NORTE COUNTY,345
Asian or Asian/Pacific Islander Students,2009,EL DORADO COUNTY,1460
Asian or Asian/Pacific Islander Students,2009,FRESNO COUNTY,21112
Asian or Asian/Pacific Islander Students,2009,GLENN COUNTY,206
Asian or Asian/Pacific Islander Students,2009,HUMBOLDT COUNTY,659
Asian or Asian/Pacific Islander Students,2009,IMPERIAL COUNTY,370
Asian or Asian/Pacific Islander Students,2009,INYO COUNTY,45
Asian or Asian/Pacific Islander Students,2009,KERN COUNTY,6378
Asian or Asian/Pacific Islander Students,2009,KINGS COUNTY,1088
Asian or Asian/Pacific Islander Students,2009,LAKE COUNTY,122
Asian or Asian/Pacific Islander Students,2009,LASSEN COUNTY,63
Asian or Asian/Pacific Islander Students,2009,LOS ANGELES COUNTY,157695
Asian or Asian/Pacific Islander Students,2009,MADERA COUNTY,435
Asian or Asian/Pacific Islander Students,2009,MARIN COUNTY,1846
Asian or Asian/Pacific Islander Students,2009,MARIPOSA COUNTY,22
Asian or Asian/Pacific Islander Students,2009,MENDOCINO COUNTY,204
Asian or Asian/Pacific Islander Students,2009,MERCED COUNTY,4460
Asian or Asian/Pacific Islander Students,2009,MODOC COUNTY,13
Asian or Asian/Pacific Islander Students,2009,MONO COUNTY,16
Asian or Asian/Pacific Islander Students,2009,MONTEREY COUNTY,3495
Asian or Asian/Pacific Islander Students,2009,NAPA COUNTY,1364
Asian or Asian/Pacific Islander Students,2009,NEVADA COUNTY,183
Asian or Asian/Pacific Islander Students,2009,ORANGE COUNTY,80261
Asian or Asian/Pacific Islander Students,2009,PLACER COUNTY,3583
Asian or Asian/Pacific Islander Students,2009,PLUMAS COUNTY,23
Asian or Asian/Pacific Islander Students,2009,RIVERSIDE COUNTY,11240
Asian or Asian/Pacific Islander Students,2009,SACRAMENTO COUNTY,17222
Asian or Asian/Pacific Islander Students,2009,SAN BENITO COUNTY,239
Asian or Asian/Pacific Islander Students,2009,SAN BERNARDINO COUNTY,18988
Asian or Asian/Pacific Islander Students,2009,SAN DIEGO COUNTY,23122
Asian or Asian/Pacific Islander Students,2009,SAN FRANCISCO COUNTY,25420
Asian or Asian/Pacific Islander Students,2009,SAN JOAQUIN COUNTY,21969
Asian or Asian/Pacific Islander Students,2009,SAN LUIS OBISPO COUNTY,1007
Asian or Asian/Pacific Islander Students,2009,SAN MATEO COUNTY,18169
Asian or Asian/Pacific Islander Students,2009,SANTA BARBARA COUNTY,2252
Asian or Asian/Pacific Islander Students,2009,SANTA CLARA COUNTY,82457
Asian or Asian/Pacific Islander Students,2009,SANTA CRUZ COUNTY,1012
Asian or Asian/Pacific Islander Students,2009,SHASTA COUNTY,991
Asian or Asian/Pacific Islander Students,2009,SIERRA COUNTY,2
Asian or Asian/Pacific Islander Students,2009,SISKIYOU COUNTY,84
Asian or Asian/Pacific Islander Students,2009,SOLANO COUNTY,7912
Asian or Asian/Pacific Islander Students,2009,SONOMA COUNTY,3071
Asian or Asian/Pacific Islander Students,2009,STANISLAUS COUNTY,5319
Asian or Asian/Pacific Islander Students,2009,SUTTER COUNTY,2654
Asian or Asian/Pacific Islander Students,2009,TEHAMA COUNTY,98
Asian or Asian/Pacific Islander Students,2009,TRINITY COUNTY,21
Asian or Asian/Pacific Islander Students,2009,TULARE COUNTY,2905
Asian or Asian/Pacific Islander Students,2009,TUOLUMNE COUNTY,106
Asian or Asian/Pacific Islander Students,2009,VENTURA COUNTY,9654
Asian or Asian/Pacific Islander Students,2009,YOLO COUNTY,2879
Asian or Asian/Pacific Islander Students,2009,YUBA COUNTY,1241
Asian or Asian/Pacific Islander Students,2008,ALAMEDA COUNTY,55612
Asian or Asian/Pacific Islander Students,2008,ALPINE COUNTY,0
Asian or Asian/Pacific Islander Students,2008,AMADOR COUNTY,53
Asian or Asian/Pacific Islander Students,2008,BUTTE COUNTY,2456
Asian or Asian/Pacific Islander Students,2008,CALAVERAS COUNTY,102
Asian or Asian/Pacific Islander Students,2008,COLUSA COUNTY,46
Asian or Asian/Pacific Islander Students,2008,CONTRA COSTA COUNTY,22458
Asian or Asian/Pacific Islander Students,2008,DEL NORTE COUNTY,333
Asian or Asian/Pacific Islander Students,2008,EL DORADO COUNTY,1435
Asian or Asian/Pacific Islander Students,2008,FRESNO COUNTY,21599
Asian or Asian/Pacific Islander Students,2008,GLENN COUNTY,210
Asian or Asian/Pacific Islander Students,2008,HUMBOLDT COUNTY,627
Asian or Asian/Pacific Islander Students,2008,IMPERIAL COUNTY,442
Asian or Asian/Pacific Islander Students,2008,INYO COUNTY,42
Asian or Asian/Pacific Islander Students,2008,KERN COUNTY,6430
Asian or Asian/Pacific Islander Students,2008,KINGS COUNTY,1114
Asian or Asian/Pacific Islander Students,2008,LAKE COUNTY,113
Asian or Asian/Pacific Islander Students,2008,LASSEN COUNTY,62
Asian or Asian/Pacific Islander Students,2008,LOS ANGELES COUNTY,163747
Asian or Asian/Pacific Islander Students,2008,MADERA COUNTY,477
Asian or Asian/Pacific Islander Students,2008,MARIN COUNTY,1805
Asian or Asian/Pacific Islander Students,2008,MARIPOSA COUNTY,24
Asian or Asian/Pacific Islander Students,2008,MENDOCINO COUNTY,207
Asian or Asian/Pacific Islander Students,2008,MERCED COUNTY,4686
Asian or Asian/Pacific Islander Students,2008,MODOC COUNTY,20
Asian or Asian/Pacific Islander Students,2008,MONO COUNTY,14
Asian or Asian/Pacific Islander Students,2008,MONTEREY COUNTY,3638
Asian or Asian/Pacific Islander Students,2008,NAPA COUNTY,1262
Asian or Asian/Pacific Islander Students,2008,NEVADA COUNTY,191
Asian or Asian/Pacific Islander Students,2008,ORANGE COUNTY,79449
Asian or Asian/Pacific Islander Students,2008,PLACER COUNTY,4010
Asian or Asian/Pacific Islander Students,2008,PLUMAS COUNTY,29
Asian or Asian/Pacific Islander Students,2008,RIVERSIDE COUNTY,20048
Asian or Asian/Pacific Islander Students,2008,SACRAMENTO COUNTY,38402
Asian or Asian/Pacific Islander Students,2008,SAN BENITO COUNTY,245
Asian or Asian/Pacific Islander Students,2008,SAN BERNARDINO COUNTY,18886
Asian or Asian/Pacific Islander Students,2008,SAN DIEGO COUNTY,51409
Asian or Asian/Pacific Islander Students,2008,SAN FRANCISCO COUNTY,26113
Asian or Asian/Pacific Islander Students,2008,SAN JOAQUIN COUNTY,21862
Asian or Asian/Pacific Islander Students,2008,SAN LUIS OBISPO COUNTY,1022
Asian or Asian/Pacific Islander Students,2008,SAN MATEO COUNTY,20022
Asian or Asian/Pacific Islander Students,2008,SANTA BARBARA COUNTY,2437
Asian or Asian/Pacific Islander Students,2008,SANTA CLARA COUNTY,80620
Asian or Asian/Pacific Islander Students,2008,SANTA CRUZ COUNTY,1056
