Group,year2000,year2003,year2005,year2007,year2009,year2011,year2013
National,221,225,227,229,229,230,231
California,209,217,218,219,221,223,223
White,226,234,235,237,237,241,241
Black,195,203,205,209,209,217,212
Hispanic,197,204,206,207,208,210,213
Asian/Pacific Islander,221,235,236,240,246,240,241
